Process ID,Arrival Time,Burst Time,Priority,Start Time,Completion Time,Waiting Time,Turnaround Time,Response Time
P6,0,27,2,0,27,0,27,0
P1,3,10,3,27,37,24,34,24
P8,8,10,2,37,47,29,39,29
P13,8,11,4,47,58,39,50,39
P17,2,11,2,58,69,56,67,56
P27,7,11,3,69,80,62,73,62
P4,13,11,1,80,91,67,78,67
P11,3,12,4,91,103,88,100,88
P18,9,12,2,103,115,94,106,94
P10,4,16,3,115,131,111,127,111
P5,2,16,2,131,147,129,145,129
P2,7,17,2,147,164,140,157,140
P7,13,17,4,164,181,151,168,151
P22,6,18,1,181,199,175,193,175
P28,12,18,1,199,217,187,205,187
P26,7,20,1,217,237,210,230,210
P9,13,20,3,237,257,224,244,224
P12,3,21,3,257,278,254,275,254
P21,5,21,3,278,299,273,294,273
P14,3,22,1,299,321,296,318,296
P19,3,22,3,321,343,318,340,318
P24,5,24,4,343,367,338,362,338
P23,5,27,2,367,394,362,389,362
P3,3,27,1,394,421,391,418,391
P16,11,28,2,421,449,410,438,410
P29,6,28,3,449,477,443,471,443
P15,9,30,5,477,507,468,498,468
P20,14,30,3,507,537,493,523,493
P25,8,30,5,537,567,529,559,529
P30,6,30,4,567,597,561,591,561
